Score,Year,Grade,Subject,Group
289,2014,5th,ELA,All Students
302,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
292,2014,5th,ELA,All Students
309,2014,5th,ELA,All Students
307,2014,5th,ELA,All Students
286,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
312,2014,5th,ELA,All Students
294,2014,5th,ELA,All Students
299,2014,5th,ELA,All Students
309,2014,5th,ELA,All Students
309,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
297,2014,5th,ELA,All Students
307,2014,5th,ELA,All Students
302,2014,5th,ELA,All Students
304,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
340,2014,5th,ELA,All Students
307,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
309,2014,5th,ELA,All Students
304,2014,5th,ELA,All Students
309,2014,5th,ELA,All Students
314,2014,5th,ELA,All Students
333,2014,5th,ELA,All Students
355,2014,5th,ELA,All Students
335,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
292,2014,5th,ELA,All Students
361,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
292,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
364,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
347,2014,5th,ELA,All Students
333,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
346,2014,5th,ELA,All Students
307,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
356,2014,5th,ELA,All Students
346,2014,5th,ELA,All Students
340,2014,5th,ELA,All Students
351,2014,5th,ELA,All Students
333,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
347,2014,5th,ELA,All Students
332,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
312,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
301,2014,5th,ELA,All Students
302,2014,5th,ELA,All Students
304,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
312,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
314,2014,5th,ELA,All Students
294,2014,5th,ELA,All Students
255,2014,5th,ELA,All Students
314,2014,5th,ELA,All Students
299,2014,5th,ELA,All Students
304,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
340,2014,5th,ELA,All Students
307,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
302,2014,5th,ELA,All Students
314,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
306,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
299,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
346,2014,5th,ELA,All Students
297,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
346,2014,5th,ELA,All Students
307,2014,5th,ELA,All Students
312,2014,5th,ELA,All Students
347,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
299,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
309,2014,5th,ELA,All Students
333,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
333,2014,5th,ELA,All Students
340,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
340,2014,5th,ELA,All Students
376,2014,5th,ELA,All Students
312,2014,5th,ELA,All Students
351,2014,5th,ELA,All Students
340,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
333,2014,5th,ELA,All Students
347,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
333,2014,5th,ELA,All Students
304,2014,5th,ELA,All Students
346,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
340,2014,5th,ELA,All Students
304,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
314,2014,5th,ELA,All Students
355,2014,5th,ELA,All Students
346,2014,5th,ELA,All Students
307,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
340,2014,5th,ELA,All Students
351,2014,5th,ELA,All Students
314,2014,5th,ELA,All Students
347,2014,5th,ELA,All Students
351,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
333,2014,5th,ELA,All Students
364,2014,5th,ELA,All Students
351,2014,5th,ELA,All Students
297,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
347,2014,5th,ELA,All Students
340,2014,5th,ELA,All Students
359,2014,5th,ELA,All Students
355,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
364,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
267,2014,5th,ELA,All Students
267,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
333,2014,5th,ELA,All Students
302,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
273,2014,5th,ELA,All Students
314,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
302,2014,5th,ELA,All Students
309,2014,5th,ELA,All Students
297,2014,5th,ELA,All Students
292,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
351,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
312,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
307,2014,5th,ELA,All Students
314,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
299,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
346,2014,5th,ELA,All Students
304,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
346,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
314,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
347,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
370,2014,5th,ELA,All Students
339,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
340,2014,5th,ELA,All Students
299,2014,5th,ELA,All Students
347,2014,5th,ELA,All Students
370,2014,5th,ELA,All Students
370,2014,5th,ELA,All Students
307,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
351,2014,5th,ELA,All Students
364,2014,5th,ELA,All Students
376,2014,5th,ELA,All Students
359,2014,5th,ELA,All Students
346,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
351,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
370,2014,5th,ELA,All Students
370,2014,5th,ELA,All Students
309,2014,5th,ELA,All Students
347,2014,5th,ELA,All Students
346,2014,5th,ELA,All Students
351,2014,5th,ELA,All Students
346,2014,5th,ELA,All Students
355,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
346,2014,5th,ELA,All Students
351,2014,5th,ELA,All Students
312,2014,5th,ELA,All Students
359,2014,5th,ELA,All Students
314,2014,5th,ELA,All Students
340,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
333,2014,5th,ELA,All Students
370,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
347,2014,5th,ELA,All Students
299,2014,5th,ELA,All Students
340,2014,5th,ELA,All Students
312,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
312,2014,5th,ELA,All Students
312,2014,5th,ELA,All Students
293,2014,5th,ELA,All Students
304,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
309,2014,5th,ELA,All Students
294,2014,5th,ELA,All Students
312,2014,5th,ELA,All Students
304,2014,5th,ELA,All Students
297,2014,5th,ELA,All Students
359,2014,5th,ELA,All Students
307,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
302,2014,5th,ELA,All Students
312,2014,5th,ELA,All Students
314,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
314,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
297,2014,5th,ELA,All Students
314,2014,5th,ELA,All Students
299,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
307,2014,5th,ELA,All Students
304,2014,5th,ELA,All Students
346,2014,5th,ELA,All Students
343,2014,5th,ELA,All Students
304,2014,5th,ELA,All Students
302,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
347,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
314,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
320,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
317,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
346,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
328,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
337,2014,5th,ELA,All Students
322,2014,5th,ELA,All Students
333,2014,5th,ELA,All Students
333,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
359,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
325,2014,5th,ELA,All Students
364,2014,5th,ELA,All Students
347,2014,5th,ELA,All Students
364,2014,5th,ELA,All Students
327,2014,5th,ELA,All Students
330,2014,5th,ELA,All Students
280,2014,5th,ELA,Potential HO
361,2014,5th,ELA,Potential HO
296,2014,5th,ELA,Potential HO
270,2014,5th,ELA,Potential HO
325,2014,5th,ELA,Potential HO
287,2014,5th,ELA,Potential HO
296,2014,5th,ELA,Potential HO
320,2014,5th,ELA,Potential HO
302,2014,5th,ELA,Potential HO
289,2014,5th,ELA,Potential HO
305,2014,5th,ELA,Potential HO
308,2014,5th,ELA,Potential HO
302,2014,5th,ELA,Potential HO
321,2014,5th,ELA,Potential HO
281,2014,5th,ELA,Holdover
281,2014,5th,ELA,Holdover
276,2014,5th,ELA,Holdover
309,2014,5th,ELA,Holdover
299,2014,5th,ELA,Holdover
294,2014,5th,ELA,Holdover
309,2014,5th,ELA,Holdover
294,2014,5th,ELA,Holdover
294,2014,5th,ELA,Holdover
281,2014,5th,ELA,Holdover
278,2014,5th,ELA,Holdover
309,2014,5th,ELA,Holdover
294,2014,5th,ELA,Holdover
317,2014,5th,ELA,Holdover
304,2014,5th,ELA,Holdover
293,2015,6th,ELA,All Students
312,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
302,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
312,2015,6th,ELA,All Students
307,2015,6th,ELA,All Students
295,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
304,2015,6th,ELA,All Students
312,2015,6th,ELA,All Students
300,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
357,2015,6th,ELA,All Students
348,2015,6th,ELA,All Students
348,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
357,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
376,2015,6th,ELA,All Students
348,2015,6th,ELA,All Students
348,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
397,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
352,2015,6th,ELA,All Students
376,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
357,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
352,2015,6th,ELA,All Students
302,2015,6th,ELA,All Students
302,2015,6th,ELA,All Students
312,2015,6th,ELA,All Students
307,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
290,2015,6th,ELA,All Students
302,2015,6th,ELA,All Students
309,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
312,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
309,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
312,2015,6th,ELA,All Students
312,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
312,2015,6th,ELA,All Students
312,2015,6th,ELA,All Students
302,2015,6th,ELA,All Students
309,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
357,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
344,2015,6th,ELA,All Students
348,2015,6th,ELA,All Students
362,2015,6th,ELA,All Students
352,2015,6th,ELA,All Students
348,2015,6th,ELA,All Students
357,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
348,2015,6th,ELA,All Students
348,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
352,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
344,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
344,2015,6th,ELA,All Students
344,2015,6th,ELA,All Students
352,2015,6th,ELA,All Students
348,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
352,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
362,2015,6th,ELA,All Students
,2015,6th,ELA,All Students
278,2015,6th,ELA,All Students
297,2015,6th,ELA,All Students
312,2015,6th,ELA,All Students
304,2015,6th,ELA,All Students
307,2015,6th,ELA,All Students
302,2015,6th,ELA,All Students
307,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
307,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
312,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
297,2015,6th,ELA,All Students
309,2015,6th,ELA,All Students
307,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
357,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
344,2015,6th,ELA,All Students
348,2015,6th,ELA,All Students
348,2015,6th,ELA,All Students
357,2015,6th,ELA,All Students
344,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
344,2015,6th,ELA,All Students
362,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
344,2015,6th,ELA,All Students
357,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
368,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
357,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
357,2015,6th,ELA,All Students
362,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
368,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
362,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
348,2015,6th,ELA,All Students
352,2015,6th,ELA,All Students
352,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
357,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
344,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
357,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
352,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
344,2015,6th,ELA,All Students
288,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
304,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
297,2015,6th,ELA,All Students
312,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
312,2015,6th,ELA,All Students
304,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
312,2015,6th,ELA,All Students
304,2015,6th,ELA,All Students
302,2015,6th,ELA,All Students
300,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
290,2015,6th,ELA,All Students
309,2015,6th,ELA,All Students
304,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
312,2015,6th,ELA,All Students
290,2015,6th,ELA,All Students
293,2015,6th,ELA,All Students
300,2015,6th,ELA,All Students
295,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
304,2015,6th,ELA,All Students
302,2015,6th,ELA,All Students
304,2015,6th,ELA,All Students
317,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
307,2015,6th,ELA,All Students
309,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
314,2015,6th,ELA,All Students
300,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
322,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
328,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
320,2015,6th,ELA,All Students
331,2015,6th,ELA,All Students
325,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
334,2015,6th,ELA,All Students
338,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
344,2015,6th,ELA,All Students
368,2015,6th,ELA,All Students
340,2015,6th,ELA,All Students
352,2015,6th,ELA,All Students
362,2015,6th,ELA,All Students
344,2015,6th,ELA,All Students
320,2015,6th,ELA,Potential HO
317,2015,6th,ELA,Potential HO
329,2015,6th,ELA,Potential HO
273,2015,6th,ELA,Potential HO
320,2015,6th,ELA,Potential HO
278,2015,6th,ELA,Potential HO
306,2015,6th,ELA,Potential HO
306,2015,6th,ELA,Potential HO
314,2015,6th,ELA,Potential HO
291,2015,6th,ELA,Potential HO
311,2015,6th,ELA,Potential HO
303,2015,6th,ELA,Potential HO
323,2015,6th,ELA,Potential HO
323,2015,6th,ELA,Potential HO
320,2015,6th,ELA,Holdover
308,2015,6th,ELA,Holdover
303,2015,6th,ELA,Holdover
320,2015,6th,ELA,Holdover
314,2015,6th,ELA,Holdover
324,2015,6th,ELA,Holdover
335,2015,6th,ELA,Holdover
338,2015,6th,ELA,Holdover
291,2015,6th,ELA,Holdover
297,2015,6th,ELA,Holdover
335,2015,6th,ELA,Holdover
297,2015,6th,ELA,Holdover
324,2015,6th,ELA,Holdover
311,2015,6th,ELA,Holdover
321,2015,6th,ELA,Holdover
303,2016,7th,ELA,All Students
278,2016,7th,ELA,All Students
269,2016,7th,ELA,All Students
318,2016,7th,ELA,All Students
303,2016,7th,ELA,All Students
295,2016,7th,ELA,All Students
298,2016,7th,ELA,All Students
348,2016,7th,ELA,All Students
303,2016,7th,ELA,All Students
316,2016,7th,ELA,All Students
321,2016,7th,ELA,All Students
